 ,Area,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Distance_to_Center,Radial_Distance_to_Edge,Shortest_Distance_to_Edge,Distance_Ratio,Inside_Ellipse
38,0.1038,69.6434,-54.2195,0.9359,0.4591,1222.0,948.0,119.7449,0.3417,1.217,0.8217,0.9143,3.1204516612182887,5.201227940929343,4.824969196989567,0.37497858730501626,True
39,0.0065,70.1025,-54.4134,1.0,0.1273,1230.0,955.0,153.4349,0.0569,2.0,0.5,1.0,3.431909685583237,4.69836365704275,4.33907961567542,0.42211492048984034,True
40,0.013,65.9453,-54.5273,0.8574,0.2053,1157.0,956.0,123.6901,0.1139,2.0313,0.4923,0.8,4.524463568203412,2.8439763865341243,2.6859000314059136,0.6140327662294933,True
41,0.1135,66.9647,-54.8641,0.9682,0.4591,1174.0,960.0,119.7449,0.3417,1.1807,0.8469,0.9091,4.2070591557523915,3.6659073607463792,3.420885208991276,0.534367718564023,True
42,0.1459,69.9437,-54.9525,0.9984,0.5094,1226.0,961.0,116.5651,0.433,1.1763,0.8501,0.8738,3.9030006021009034,4.368013154576502,4.122952116681071,0.4718890231502649,True
43,0.12,66.1016,-55.0352,1.0,0.4591,1159.0,970.0,60.2551,0.3986,1.1058,0.9043,0.8916,4.818149428982043,2.75214102635477,2.5933297150542236,0.6364550286951541,True
44,0.0162,72.2722,-54.9374,1.0,0.2053,1268.0,966.0,56.3099,0.1139,1.553,0.6439,0.9091,5.003393696282551,2.324345705028321,2.207029137164644,0.6828018058867493,True
45,0.0876,64.4489,-55.2086,0.9929,0.4107,1129.0,972.0,33.6901,0.2847,1.1471,0.8718,0.9474,6.068545955169164,1.083566167257242,1.0417204602538426,0.8484970385378082,True
46,0.0746,71.5745,-56.2135,1.0,0.382,1256.0,984.0,116.5651,0.2847,1.2266,0.8152,0.902,5.671636506335719,2.1755951447801287,2.067762840659731,0.7227563500727333,True
47,0.0584,67.7866,-56.4224,1.0,0.3321,1189.0,988.0,120.9638,0.2801,1.2204,0.8194,0.8571,5.385463861172965,2.971664249250943,2.90251582285289,0.6444156162277369,True
48,0.0065,65.262,-56.5774,1.0,0.1273,1145.0,993.0,153.4349,0.0569,2.0,0.5,1.0,6.561217512017107,1.0907407934419693,1.0426501885718782,0.8574559936292634,True
49,0.1038,69.1504,-56.7269,0.9359,0.4591,1212.0,993.0,119.7449,0.3417,1.2467,0.8021,0.8767,5.5589430335271475,2.9208384620641246,2.9158732891720107,0.6555526267295095,True
50,0.1038,72.9534,-57.1078,0.9912,0.4146,1281.0,999.0,105.9454,0.3417,1.0517,0.9509,0.8889,7.144662287330311,0.4558237771289697,0.4373213198586687,0.9400270228425979,True
51,0.0227,66.4131,-57.1225,0.9433,0.2547,1164.0,1004.0,26.5651,0.1139,1.9357,0.5166,0.9333,6.481431664377864,1.5785662386869221,1.5208039479658606,0.8041480583901048,True
52,0.0065,71.8679,-57.3747,1.0,0.1273,1261.0,1007.0,153.4349,0.0569,2.0,0.5,1.0,6.843727056217248,1.0862817556508775,1.0444922822744618,0.8630163242662305,True
53,0.0486,70.6283,-57.6557,1.0,0.3321,1239.0,1010.0,120.9638,0.2278,1.4352,0.6968,0.8824,6.691540368256028,1.580558213147091,1.5446035399119282,0.8089289921301934,True
54,0.0032,67.967,-57.6595,1.0,0.0805,1193.0,1012.0,135.0,0.0569,1.0,1.0,1.0,6.567340954298019,1.861113620840297,1.84628326213782,0.7791868480456567,True
55,0.094,68.5522,-58.2584,1.0,0.4107,1202.0,1020.0,123.6901,0.3417,1.0573,0.9458,0.8923,7.1006384980507224,1.3811330068734282,1.3801590779419646,0.8371645585982124,True
56,0.0324,67.6822,-58.2403,1.0,0.2547,1187.0,1021.0,116.5651,0.1708,1.2356,0.8093,0.9091,7.187652490904104,1.2160876739007547,1.2049021386737642,0.855292090182206,True
57,0.094,66.4962,-58.7159,1.0,0.4337,1164.0,1030.0,156.8014,0.3242,1.3855,0.7217,0.8529,7.943289490507063,0.2770522390998629,0.27137586548869813,0.9662967491847677,True
58,0.0097,69.3717,-59.235,1.0,0.1611,1217.0,1041.0,45.0,0.1139,1.4638,0.6831,0.8571,8.073955700274803,0.3992463575824967,0.3986995020226779,0.9528812891683291,True
60,170.4926,68.979,-51.1706,0.9701,16.9749,1208.561,1047.5867,88.9647,12.8059,1.3254,0.7545,1.0002,,,,,
